task,variety_exposure,word_type,sum_zero_one,sum_zero,sum_one,n_obs,zero_percent,one_percent,zoi_percent,coi_percent,czi_percent
reading,variety_match,contrastive,627,566,61,1200,47.17,5.08,52.25,9.73,90.27
reading,variety_match,non_contrastive,654,600,54,1200,50,4.5,54.5,8.26,91.74
reading,variety_match,novel,473,391,82,960,40.73,8.54,49.27,17.34,82.66
reading,variety_mismatch,contrastive,563,487,76,1200,40.58,6.33,46.92,13.5,86.5
reading,variety_mismatch,non_contrastive,663,594,69,1199,49.54,5.75,55.3,10.41,89.59
reading,variety_mismatch,novel,442,361,81,960,37.6,8.44,46.04,18.33,81.67
reading,variety_mismatch_social,contrastive,550,445,105,1200,37.08,8.75,45.83,19.09,80.91
reading,variety_mismatch_social,non_contrastive,611,541,70,1200,45.08,5.83,50.92,11.46,88.54
reading,variety_mismatch_social,novel,477,359,118,960,37.4,12.29,49.69,24.74,75.26
reading,dialect_literacy,contrastive,479,397,82,1200,33.08,6.83,39.92,17.12,82.88
reading,dialect_literacy,non_contrastive,661,605,56,1200,50.42,4.67,55.08,8.47,91.53
reading,dialect_literacy,novel,426,341,85,960,35.52,8.85,44.38,19.95,80.05
spelling,variety_match,contrastive,468,368,100,1200,30.67,8.33,39,21.37,78.63
spelling,variety_match,non_contrastive,499,402,97,1200,33.5,8.08,41.58,19.44,80.56
spelling,variety_match,novel,369,314,55,960,32.71,5.73,38.44,14.91,85.09
spelling,variety_mismatch,contrastive,467,372,95,1200,31,7.92,38.92,20.34,79.66
spelling,variety_mismatch,non_contrastive,478,385,93,1200,32.08,7.75,39.83,19.46,80.54
spelling,variety_mismatch,novel,390,290,100,960,30.21,10.42,40.62,25.64,74.36
spelling,variety_mismatch_social,contrastive,470,335,135,1200,27.92,11.25,39.17,28.72,71.28
spelling,variety_mismatch_social,non_contrastive,461,345,116,1200,28.75,9.67,38.42,25.16,74.84
spelling,variety_mismatch_social,novel,396,283,113,960,29.48,11.77,41.25,28.54,71.46
spelling,dialect_literacy,contrastive,433,286,147,1200,23.83,12.25,36.08,33.95,66.05
spelling,dialect_literacy,non_contrastive,515,395,120,1199,32.94,10.01,42.95,23.3,76.7
spelling,dialect_literacy,novel,390,295,95,960,30.73,9.9,40.62,24.36,75.64
