task,variety_exposure,word_type,lenient_coder_error_types,n_subj,mean_prop,sd_prop,se_prop,ci
Reading,No Dialect,Non-contrastive,Correct,80,0.5,0.2920416516543223,0.03265124926801893,0.0649906859698046
Reading,No Dialect,Non-contrastive,Dialect Word Match,80,0,0,0,0
Reading,No Dialect,Non-contrastive,Dialect Word Mismatch,80,0.006666666666666666,0.02275040377688387,0.0025435724680340143,0.005062854353733871
Reading,No Dialect,Non-contrastive,Standard Word Mismatch,80,0.041666666666666664,0.05343345033429233,0.005974041360991825,0.011891031882909662
Reading,No Dialect,Non-contrastive,Other Mismatch,80,0.45166666666666666,0.2875719197025441,0.03215151804374998,0.06399599584939993
Reading,No Dialect,Contrastive,Correct,80,0.4716666666666667,0.31012451562215043,0.03467297492101619,0.06901483022084065
Reading,No Dialect,Contrastive,Dialect Word Match,80,0.025,0.04788053581850593,0.00535320664446464,0.010655291290879963
Reading,No Dialect,Contrastive,Dialect Word Mismatch,80,0.004166666666666667,0.016239245061540772,0.001815602793044146,0.0036138669611091288
Reading,No Dialect,Contrastive,Standard Word Mismatch,80,0.045,0.07018160088422244,0.007846541517344036,0.015618150212776868
Reading,No Dialect,Contrastive,Other Mismatch,80,0.45416666666666666,0.3123512304109598,0.03492192920273028,0.06951036132321615
Reading,No Dialect,Untrained,Correct,80,0.40729166666666666,0.3592248623885702,0.04016256057544252,0.07994157714076984
Reading,No Dialect,Untrained,Dialect Word Match,80,0,0,0,0
Reading,No Dialect,Untrained,Dialect Word Mismatch,80,0.0010416666666666667,0.009316949906249122,0.0010416666666666664,0.0020733856356563835
Reading,No Dialect,Untrained,Standard Word Mismatch,80,0.014583333333333334,0.0646517773976486,0.007228288456366336,0.014387548277578384
Reading,No Dialect,Untrained,Other Mismatch,80,0.5770833333333333,0.3525013590860674,0.03941085005387549,0.07844533477508454
Reading,Dialect,Non-contrastive,Correct,80,0.4957142857142857,0.2918603568898634,0.03263097989715418,0.06495034079630564
Reading,Dialect,Non-contrastive,Dialect Word Match,80,0,0,0,0
Reading,Dialect,Non-contrastive,Dialect Word Mismatch,80,0.0075,0.021198280321941092,0.0023700397902978202,0.004717446198852066
Reading,Dialect,Non-contrastive,Standard Word Mismatch,80,0.0375,0.06261417138722784,0.007000477178833188,0.013934101272319735
Reading,Dialect,Non-contrastive,Other Mismatch,80,0.4592857142857143,0.2790995390786459,0.031204277093435557,0.06211055990070799
Reading,Dialect,Contrastive,Correct,80,0.4058333333333333,0.29780136670008556,0.03329520498668667,0.06627244776540571
Reading,Dialect,Contrastive,Dialect Word Match,80,0.06,0.08656599150980684,0.009678372077779888,0.019264317736902382
Reading,Dialect,Contrastive,Dialect Word Mismatch,80,0.008333333333333333,0.022187032616261447,0.00248058565744828,0.004937482243361771
Reading,Dialect,Contrastive,Standard Word Mismatch,80,0.03833333333333333,0.05590327189637573,0.006250175806247485,0.012440663747520569
Reading,Dialect,Contrastive,Other Mismatch,80,0.4875,0.28847408822641085,0.03225238355107632,0.06419676361966259
Reading,Dialect,Untrained,Correct,80,0.37604166666666666,0.3320104948733516,0.03711990178900798,0.07388531631965266
Reading,Dialect,Untrained,Dialect Word Match,80,0,0,0,0
Reading,Dialect,Untrained,Dialect Word Mismatch,80,0.0020833333333333333,0.013092497932392604,0.0014637857686052654,0.002913592690852221
Reading,Dialect,Untrained,Standard Word Mismatch,80,0.014583333333333334,0.04145515937853646,0.004634827719424773,0.009225393808509464
Reading,Dialect,Untrained,Other Mismatch,80,0.6072916666666667,0.3226651906328481,0.03607506501139884,0.07180562073600436
Reading,Dialect & Social,Non-contrastive,Correct,80,0.4508333333333333,0.2822939486027313,0.03156142293562695,0.06282144091738066
Reading,Dialect & Social,Non-contrastive,Dialect Word Match,80,0,0,0,0
Reading,Dialect & Social,Non-contrastive,Dialect Word Mismatch,80,0.011666666666666667,0.029577427056454515,0.00330685687488869,0.006582133961823139
Reading,Dialect & Social,Non-contrastive,Standard Word Mismatch,80,0.05416666666666667,0.056223133918548746,0.006285937467497456,0.012511845553673753
Reading,Dialect & Social,Non-contrastive,Other Mismatch,80,0.48333333333333334,0.2819462198471119,0.031522545678862125,0.06274405767347994
Reading,Dialect & Social,Contrastive,Correct,80,0.37083333333333335,0.29792413537007306,0.03330893094126664,0.06629976859458502
Reading,Dialect & Social,Contrastive,Dialect Word Match,80,0.06761904761904762,0.10154635501892556,0.011353227634482224,0.022598034331845648
Reading,Dialect & Social,Contrastive,Dialect Word Mismatch,80,0.01,0.026198420626428392,0.002929072471191325,0.005830172916062056
Reading,Dialect & Social,Contrastive,Standard Word Mismatch,80,0.0425,0.05637302923166244,0.006302696272978997,0.012545203121567691
Reading,Dialect & Social,Contrastive,Other Mismatch,80,0.5090476190476191,0.3019836444751085,0.033762797856973566,0.06720316809237037
Reading,Dialect & Social,Untrained,Correct,80,0.37395833333333334,0.3597139407895004,0.04021724120298286,0.08005041620735302
Reading,Dialect & Social,Untrained,Dialect Word Match,80,0,0,0,0
Reading,Dialect & Social,Untrained,Dialect Word Mismatch,80,0.004166666666666667,0.018276667316931262,0.0020433935261403497,0.004067273073688943
Reading,Dialect & Social,Untrained,Standard Word Mismatch,80,0.012499999999999999,0.037736595406997066,0.004219079628472589,0.008397867933470917
Reading,Dialect & Social,Untrained,Other Mismatch,80,0.609375,0.34616488098042425,0.03870241026476763,0.07703522064791941
Reading,Dialect Literacy,Non-contrastive,Correct,80,0.5041666666666667,0.2741243570908873,0.030648034837182522,0.06100338738481026
Reading,Dialect Literacy,Non-contrastive,Dialect Word Match,80,0,0,0,0
Reading,Dialect Literacy,Non-contrastive,Dialect Word Mismatch,80,0.009166666666666667,0.025421897158426524,0.0028422545081625223,0.005657366083299623
Reading,Dialect Literacy,Non-contrastive,Standard Word Mismatch,80,0.0325,0.05195881740424641,0.005809172387319707,0.011562868399603568
Reading,Dialect Literacy,Non-contrastive,Other Mismatch,80,0.45416666666666666,0.2737649674154205,0.030607853849944754,0.06092340913031558
